央视频道,#genre#
CCTV1综合,http://cctvalih5ca.v.myalicdn.com/live/cctv1_2/index.m3u8
CCTV1综合,http://223.110.243.138:80/PLTV/3/224/3221226316/index.m3u8?servicetype=1&icpid=88888888&from=1&hms_devid=3444
CCTV1综合,http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8
CCTV1综合,http://223.110.241.133:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ
CCTV1综合,http://39.134.155.133/PLTV/88888888/224/3221225658/index.m3u8
CCTV1综合,http://cg01.hrtn.net:9090/live/cctv1hd_4000.m3u8
CCTV1综合,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-1/1.m3u8
CCTV2财经,http://cctvalih5ca.v.myalicdn.com/live/cctv2_2/index.m3u8
CCTV2财经,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV2财经,http://223.110.241.133:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ
CCTV2财经,http://39.134.155.153/PLTV/88888888/224/3221225650/index.m3u8
CCTV2财经,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-2/1.m3u8
CCTV2财经,http://39.134.39.39/PLTV/88888888/224/3221226220/index.m3u8
CCTV2财经,http://39.134.216.5/live.hcs.cmvideo.cn:8088/migu/kailu/cctv2hd265/55/20200407/index.m3u8?ProgramID=&encrypt=1
CCTV3综艺,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV3综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV3综艺,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8
CCTV3综艺,http://223.110.241.133:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ
CCTV3综艺,http://117.71.37.17/live.aishang.ctlcdn.com/00000110240245_1/playlist.m3u8?
CCTV4国际,http://cctvalih5ca.v.myalicdn.com/live/cctv4_2/index.m3u8
CCTV4国际,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV4国际,http://223.110.241.133:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ
CCTV4国际,http://39.134.155.215/PLTV/88888888/224/3221225641/index.m3u8
CCTV4国际,http://117.136.154.86/PLTV/88888888/224/3221225501/index.m3u8
CCTV4国际,http://39.134.216.5/live.hcs.cmvideo.cn:8088/migu/kailu/cctv4hd265/57/20191230/index.m3u8?ProgramID=&encrypt=1
CCTV5体育,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227661/index.m3u8
CCTV5体育,http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227401/index.m3u8
CCTV5体育,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227640/index.m3u8
CCTV5体育,http://223.110.241.133:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ
CCTV5体育,http://180.153.99.176/keonline.shanghai.liveplay.qq.com/live/program/live/cctv5hd/2300000/mnf.m3u8
CCTV5体育,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv5/HD-8000k-1080P-cctv5
CCTV5体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv5hd/2300000/mnf.m3u8
CCTV5体育,http://125.78.251.36/keonline.shanghai.liveplay.qq.com/live/program/live/cctv5phd/2300000/mnf.m3u8
CCTV5体育,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV5体育,http://1.183.73.177/liveplay-kk.rtxapp.com/live/program/live/cctv5phd/2300000/mnf.m3u8
CCTV5体育,http://117.136.154.98/PLTV/88888888/224/3221225780/index.m3u8
CCTV5体育,http://39.134.39.39/PLTV/88888888/224/3221226224/index.m3u8
CCTV5体育,http://39.134.39.8/PLTV/88888888/224/3221226253/index.m3u8
CCTV5体育,http://39.134.39.39/PLTV/88888888/224/3221226146/index.m3u8
CCTV5体育,http://39.134.65.208/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.135.32.26:6610/000000001000/1000000003000030177/1.m3u8?
CCTV5体育,http://39.134.134.89/000000001000/5000000010000016619
CCTV-5+体育,http://223.110.241.133:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ
CCTV-5+体育,http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227631/index.m3u8
CCTV-5+体育,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227714/index.m3u8
CCTV-5+体育,http://39.135.32.26:6610/000000001000/1000000001000020505/1.m3u8?
CCTV-5+体育,http://117.136.154.98/PLTV/88888888/224/3221225512/index.m3u8
CCTV-5+体育,http://39.134.39.39/PLTV/88888888/224/3221226253/index.m3u8
CCTV-5+体育,http://39.134.65.208/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5+体育,http://39.134.155.145/PLTV/88888888/224/3221225648/index.m3u8
CCTV-5+体育,http://cg01.hrtn.net:9090/live/cctv5jhd_4000.m3u8
CCTV6电影,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV6电影,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV6电影,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227430/index.m3u8
CCTV6电影,http://223.110.241.133:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ
CCTV6电影,http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8
CCTV6电影,http://39.134.39.39/PLTV/88888888/224/3221226226/index.m3u8
CCTV6电影,http://39.134.216.5/live.hcs.cmvideo.cn:8088/migu/kailu/cctv6hd265/55/20200407/index.m3u8?ProgramID=&encrypt=1
CCTV7军农,http://cctvalih5ca.v.myalicdn.com/live/cctv7_2/index.m3u8
CCTV7军农,http://39.134.155.203/PLTV/88888888/224/3221225661/index.m3u8
CCTV7军农,http://223.110.243.147/ott.js.chinamobile.com/PLTV/3/224/3221227690/index.m3u8
CCTV7军农,http://223.110.241.133:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ
CCTV8电视剧,http://183.207.248.35:80/PLTV/3/224/3221227205/index.m3u8?servicetype=1&icpid=88888888&from=1&hms_devid=3464
CCTV8电视剧,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV8电视剧,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227629/index.m3u8
CCTV8电视剧,http://223.110.241.133:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ
CCTV8电视剧,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227629/index.m3u8
CCTV8电视剧,http://39.134.39.39/PLTV/88888888/224/3221226150/index.m3u8
CCTV8电视剧,http://39.134.39.39/PLTV/88888888/224/3221226257/index.m3u8
CCTV9纪录,http://cctvalih5ca.v.myalicdn.com/live/cctvjilu_2/index.m3u8
CCTV9纪录,http://223.110.243.151/ott.js.chinamobile.com/PLTV/3/224/3221227614/index.m3u8
CCTV9纪录,http://223.110.241.133:6610/gitv/live1/G_CCTV-9-HD-265-5M/G_CCTV-9-HD-265-5M
CCTV9纪录,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv9/HD-8000k-1080P-cctv9
CCTV10科教,http://cctvalih5ca.v.myalicdn.com/live/cctv10_2/index.m3u8
CCTV10科教,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227620/index.m3u8
CCTV10科教,http://223.110.241.133:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ
CCTV10科教,http://39.134.155.185/PLTV/88888888/224/3221225600/index.m3u8
CCTV10科教,http://39.134.155.185/PLTV/88888888/224/3221225652/index.m3u8
CCTV10科教,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-10/1.m3u8
CCTV11戏曲,http://cctvalih5ca.v.myalicdn.com/live/cctv11_2/index.m3u8
CCTV11戏曲,http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227720/index.m3u8
CCTV11戏曲,http://223.110.241.133:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ
CCTV11戏曲,http://39.134.155.139/PLTV/88888888/224/3221225622/index.m3u8
CCTV11戏曲,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-11/1.m3u8
CCTV12社会与法,http://cctvalih5ca.v.myalicdn.com/live/cctv12_2/index.m3u8
CCTV12社会与法,http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227637/index.m3u8
CCTV12社会与法,http://223.110.241.133:6610/cntv/live1/HD-8000k-1080P-cctv12/HD-8000k-1080P-cctv12
CCTV12社会与法,http://39.134.155.147/PLTV/88888888/224/3221225665/index.m3u8
CCTV12社会与法,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-12/1.m3u8
CCTV13新闻,http://cctvalih5ca.v.myalicdn.com/live/cctv13_2/index.m3u8
CCTV13新闻,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227601/index.m3u8
CCTV13新闻,http://223.110.241.133:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ
CCTV13新闻,http://39.134.155.143/PLTV/88888888/224/3221225597/index.m3u8
CCTV13新闻,http://cg01.hrtn.net:9090/live/cctv13hd_4000.m3u8
CCTV13新闻,http://117.136.156.42/PLTV/88888888/224/3221225510/index.m3u8
CCTV13新闻,http://39.135.138.58:18890/PLTV/88888910/224/3221225638/index.m3u8codeyj
CCTV13新闻,http://hw-m-l.cztv.com/channels/lantian/channel16/1080p.m3u8
CCTV13新闻,http://39.134.216.5/live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/cctv13/2000/index.m3u8?ProgramID=&encrypt=1
CCTV14少儿,http://cctvalih5ca.v.myalicdn.com/live/cctvchild_2/index.m3u8
CCTV14少儿,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227693/index.m3u8
CCTV14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV14少儿,http://223.110.241.133:6610/cntv/live1/HD-8000k-1080P-cctv14/HD-8000k-1080P-cctv14
CCTV14少儿,http://39.134.155.175/PLTV/88888888/224/3221225638/index.m3u8
CCTV14少儿,http://39.134.39.39/PLTV/88888888/224/3221226166/index.m3u8
CCTV14少儿,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-14/1.m3u8
CCTV15音乐,http://cctvalih5ca.v.myalicdn.com/live/cctv15_2/index.m3u8
CCTV15音乐,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227723/index.m3u8
CCTV15音乐,http://223.110.241.133:6610/gitv/live1/G_CCTV-15/G_CCTV-15
CCTV15音乐,http://39.134.155.217/PLTV/88888888/224/3221225610/index.m3u8
CCTV-15音乐,http://cg01.hrtn.net:9090/live/cctv15hd_4000.m3u8
CCTV-15音乐,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-15/1.m3u8
CCTV17农业农村,https://cctvcnch5ca.v.wscdns.com/live/cctv17_2/10793.m3u8
CCTV17农业农村,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227726/index.m3u8
CCTV17农业农村,http://223.110.241.133:6610/gitv/live1/G_CCTV-17-HD/G_CCTV-17-HD
CCTV17农业农村,http://39.134.155.219/PLTV/88888888/224/3221225675/index.m3u8
CCTV风云足球,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226153/1/index.m3u8?fmt=ts2hls
CCTV风云足球,http://cg01.hrtn.net:9090/live/fyzq_1500.m3u8
CCTV央视台球,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226156/1/index.m3u8?fmt=ts2hls
CCTV世界地理,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226071/1/index.m3u8?fmt=ts2hls
CCTV世界地理,http://cg01.hrtn.net:9090/live/xzws_1500.m3u8
CCTV央视文化精品,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls
CCTV央视文化精品,http://cg01.hrtn.net:9090/live/cctv14hd_4000.m3u8
CCTV怀旧剧场,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226097/1/index.m3u8?fmt=ts2hls
CCTV怀旧剧场,http://cg01.hrtn.net:9090/live/hjjc_1500.m3u8
CCTV第一剧场,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226124/1/index.m3u8?fmt=ts2hls
CCTV风云剧场,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226107/1/index.m3u8?fmt=ts2hls
CCTV风云剧场,http://cg01.hrtn.net:9090/live/fyjc_1500.m3u8
CCTV风云音乐,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226083/1/index.m3u8?fmt=ts2hls
CCTV风云音乐,http://cg01.hrtn.net:9090/live/fyyy_1500.m3u8
CCTV女性时尚,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
CCTV兵器科技,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226111/1/index.m3u8?fmt=ts2hls
CCTV女性时尚,http://cg01.hrtn.net:9090/live/jspd_1500.m3u8
CCTV电视指南,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226120/1/index.m3u8?fmt=ts2hls
冬奥纪实4K,http://221.179.217.94/PLTV/88888888/224/3221226563/1.m3u8
北京4K超清,http://221.179.217.94/PLTV/88888888/224/3221226550/1.m3u8
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
纯享4K,http://39.134.155.159/PLTV/88888888/224/3221225670/index.m3u8
广东珠江4K,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=79&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
珠峰基站4K,http://117.136.154.98/PLTV/88888888/224/3221225753/index.m3u8
欢笑剧场4K,http://39.134.39.38/PLTV/88888888/224/3221226203/index.m3u8
CGTN国际频道,http://live.cgtn.com/1000/prog_index.m3u8
中国教育1台,http://117.136.154.86/PLTV/88888888/224/3221225701/index.m3u8
第一财经,http://39.134.39.37/PLTV/88888888/224/3221226172/index.m3u8
第一财经,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dycjhd/4000000/mnf.m3u8
第一财经,http://183.207.255.188/live/program/live/dycjhd/4000000/mnf.m3u8
第一财经,http://39.134.39.39/PLTV/88888888/224/3221226172/index.m3u8
卫视频道,#genre#
